bodyPart,equipment,id,name,target,secondaryMuscles/0,secondaryMuscles/1,instructions/0,instructions/1,instructions/2,instructions/3,instructions/4,instructions/5,secondaryMuscles/2,instructions/6,instructions/7,secondaryMuscles/3,instructions/8,secondaryMuscles/4,instructions/9,secondaryMuscles/5,instructions/10
chest,cable,1262_cable_one_arm_decline_chest_fly,cable one arm decline chest fly,pectorals,shoulders,triceps,Attach a D-handle to a low pulley cable machine and set the bench to a decline angle.,Lie down on the bench with your head towards the machine and grab the handle with your right hand.,"Extend your arm straight up above your chest, keeping a slight bend in your elbow.","With a controlled motion, lower your arm out to the side until your hand is in line with your shoulder.","Pause for a moment, then reverse the motion and bring your arm back to the starting position.","Repeat for the desired number of repetitions, then switch to your left arm and repeat the exercise.",,,,,,,,,
chest,cable,1263_cable_one_arm_fly_on_exercise_ball,cable one arm fly on exercise ball,pectorals,deltoids,triceps,Sit on an exercise ball with your feet flat on the ground and your back straight.,"Hold a cable handle in one hand and extend your arm out to the side, parallel to the ground.",Keep your elbow slightly bent and your palm facing forward.,"Slowly bring your arm across your body, squeezing your chest muscles.","Pause for a moment at the end of the movement, then slowly return to the starting position.","Repeat for the desired number of repetitions, then switch sides.",,,,,,,,,
chest,cable,1264_cable_one_arm_incline_fly_on_exercise_ball,cable one arm incline fly on exercise ball,pectorals,deltoids,triceps,Sit on an exercise ball with your feet flat on the ground and your back against an incline bench.,Hold a cable handle in one hand with your arm extended and palm facing inward.,"Keeping a slight bend in your elbow, slowly lower your arm out to the side until your hand is in line with your shoulder.","Pause for a moment, then squeeze your chest muscles to bring your arm back to the starting position.","Repeat for the desired number of repetitions, then switch arms.",,,,,,,,,,
chest,cable,1265_cable_one_arm_incline_press,cable one arm incline press,pectorals,deltoids,triceps,Adjust the cable machine to a low pulley position.,Sit on an incline bench facing away from the cable machine.,Grasp the handle with one hand and bring it up to shoulder height.,Position your feet firmly on the ground and maintain a stable position.,"Press the handle forward and upward, extending your arm fully.","Pause for a moment at the top, then slowly lower the handle back to the starting position.",,"Repeat for the desired number of repetitions, then switch sides.",,,,,,,
chest,cable,1266_cable_one_arm_incline_press_on_exercise_ball,cable one arm incline press on exercise ball,pectorals,shoulders,triceps,Sit on an exercise ball with your feet flat on the ground and your back resting against an incline bench.,Hold a cable handle in one hand and position your arm at a 90-degree angle with your elbow bent.,"Press the cable handle forward and upward, extending your arm fully.","Pause for a moment at the top, then slowly lower the cable handle back to the starting position.","Repeat for the desired number of repetitions, then switch to the other arm.",,,,,,,,,,
chest,cable,0191_cable_one_arm_lateral_bent_over,cable one arm lateral bent-over,pectorals,deltoids,trapezius,"Stand with your feet shoulder-width apart, facing a cable machine.",Grasp the handle with one hand and step back to create tension on the cable.,"Bend forward at the waist, keeping your back straight and your core engaged.","Extend your arm out to the side, parallel to the ground, with a slight bend in your elbow.","Slowly bring your arm back to the starting position, maintaining control throughout the movement.","Repeat for the desired number of repetitions, then switch sides.",,,,,,,,,
shoulders,cable,0192_cable_one_arm_lateral_raise,cable one arm lateral raise,delts,traps,triceps,"Stand with your feet shoulder-width apart, facing the cable machine.","Hold the cable handle with one hand, palm facing down, and stand far enough away from the machine so that there is tension on the cable.",Keep your arm straight and slowly raise it out to the side until it is parallel to the ground.,"Pause for a moment at the top, then slowly lower your arm back down to the starting position.","Repeat for the desired number of repetitions, then switch sides.",,,,,,,,,,
upper arms,cable,1633_cable_one_arm_preacher_curl,cable one arm preacher curl,biceps,forearms,,Adjust the cable machine so that the preacher curl pad is at chest height.,Stand facing the cable machine with your feet shoulder-width apart.,Grasp the cable handle with an underhand grip and position your upper arm against the preacher curl pad.,Keep your back straight and your core engaged.,"Slowly curl the cable handle towards your shoulder, keeping your upper arm against the pad.","Pause for a moment at the top of the movement, squeezing your biceps.",,Slowly lower the cable handle back to the starting position.,Repeat for the desired number of repetitions.,,Switch arms and repeat the exercise.,,,,
chest,cable,1267_cable_one_arm_press_on_exercise_ball,cable one arm press on exercise ball,pectorals,shoulders,triceps,Sit on an exercise ball with your feet flat on the ground and your back straight.,"Hold a cable handle in one hand and position your arm at chest height, elbow bent.",Place your other hand on your hip for stability.,"Press the cable handle forward, extending your arm fully.","Pause for a moment, then slowly return to the starting position.","Repeat for the desired number of repetitions, then switch arms.",,,,,,,,,
back,cable,3563_cable_one_arm_pulldown,cable one arm pulldown,lats,biceps,forearms,Attach a single handle to a high pulley cable machine.,Stand facing the machine with your feet shoulder-width apart.,Grasp the handle with an overhand grip and extend your arm fully.,Keep your back straight and your core engaged.,Pull the handle down towards your side while keeping your elbow close to your body.,"Pause for a moment at the bottom of the movement, squeezing your lat muscle.",,Slowly release the handle back to the starting position.,Repeat for the desired number of repetitions.,,Switch sides and repeat the exercise with the other arm.,,,,
upper arms,cable,1635_cable_one_arm_reverse_preacher_curl,cable one arm reverse preacher curl,biceps,forearms,,Adjust the cable machine so that the pulley is at the lowest position.,Stand facing the cable machine with your feet shoulder-width apart.,Grasp the cable handle with an underhand grip and position your upper arm against the preacher bench pad.,Keep your back straight and your core engaged throughout the exercise.,"Slowly curl your forearm towards your bicep, keeping your upper arm stationary against the pad.","Pause for a moment at the top of the movement, squeezing your bicep.",,Slowly lower the cable handle back to the starting position.,Repeat for the desired number of repetitions.,,Switch arms and repeat the exercise.,,,,
back,cable,0193_cable_one_arm_straight_back_high_row_kneeling,cable one arm straight back high row (kneeling),upper back,biceps,shoulders,Attach a handle to a cable machine at waist height.,Kneel down facing the cable machine and grab the handle with one hand.,Keep your back straight and your core engaged.,"Pull the handle towards your chest, squeezing your shoulder blades together.",Pause for a moment at the top of the movement.,Slowly release the handle back to the starting position.,,Repeat for the desired number of repetitions.,Switch sides and repeat the exercise with the other arm.,,,,,,
upper arms,cable,1723_cable_one_arm_tricep_pushdown,cable one arm tricep pushdown,triceps,forearms,,Stand facing a cable machine with a straight bar attachment at chest height.,Grasp the bar with an overhand grip and step back to create tension in the cable.,Position your feet shoulder-width apart and slightly bend your knees.,Keep your back straight and core engaged throughout the exercise.,Start with your arm fully extended and perpendicular to the floor.,"Keeping your upper arm stationary, exhale and push the bar down until your arm is fully extended.",,"Pause for a moment, then inhale and slowly return to the starting position.","Repeat for the desired number of repetitions, then switch arms.",,,,,,
upper arms,cable,1636_cable_overhead_curl,cable overhead curl,biceps,forearms,shoulders,Attach a straight bar to a high pulley cable machine.,Stand facing the machine with your feet shoulder-width apart.,"Grasp the bar with an underhand grip, hands shoulder-width apart.",Keep your elbows close to your sides and your upper arms stationary.,"Exhale and curl the bar down towards your forehead, keeping your upper arms stationary.","Pause for a moment at the bottom of the movement, squeezing your biceps.",,"Inhale and slowly return the bar to the starting position, fully extending your arms.",Repeat for the desired number of repetitions.,,,,,,
upper arms,cable,1637_cable_overhead_curl_on_exercise_ball,cable overhead curl on exercise ball,biceps,forearms,shoulders,Sit on an exercise ball and hold the cable handle with an underhand grip.,"Extend your arms fully overhead, keeping your elbows close to your ears.","Slowly curl the cable down towards your forehead, keeping your upper arms stationary.","Pause for a moment at the bottom of the movement, then slowly return to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,,
upper arms,cable,0194_cable_overhead_triceps_extension_rope_attachment,cable overhead triceps extension (rope attachment),triceps,shoulders,,Attach a rope to a cable machine at a high position.,Stand facing away from the machine with your feet shoulder-width apart.,"Grasp the rope with both hands, palms facing each other, and bring your hands above your head.",Keep your upper arms close to your head and your elbows pointing forward.,Slowly lower the rope behind your head by bending your elbows.,"Pause for a moment, then extend your arms back up to the starting position.",,Repeat for the desired number of repetitions.,,,,,,,
back,cable,1319_cable_palm_rotational_row,cable palm rotational row,upper back,biceps,forearms,Attach a handle to a cable machine at waist height.,Stand facing the machine with your feet shoulder-width apart.,"Grasp the handle with an overhand grip, palms facing down.","Step back to create tension on the cable, keeping your back straight and knees slightly bent.","Pull the handle towards your body, rotating your palms to face upwards as you do so.",Squeeze your shoulder blades together at the end of the movement.,,Slowly release the handle back to the starting position.,Repeat for the desired number of repetitions.,,,,,,
upper arms,cable,0195_cable_preacher_curl,cable preacher curl,biceps,forearms,,Adjust the cable machine so that the preacher curl pad is at chest height.,"Sit on the preacher curl bench and place your upper arms on the pad, gripping the cable attachment with an underhand grip.",Keep your back straight and your elbows tucked in at your sides.,"Slowly curl the cable attachment up towards your shoulders, squeezing your biceps at the top of the movement.","Pause for a moment, then slowly lower the cable attachment back down to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,
chest,cable,1268_cable_press_on_exercise_ball,cable press on exercise ball,pectorals,shoulders,triceps,Sit on an exercise ball with your feet flat on the ground and your knees at a 90-degree angle.,Hold the cable handles at chest height with your palms facing down and your elbows bent.,Engage your core and press the cable handles forward until your arms are fully extended.,"Pause for a moment, then slowly release the tension and bring the cable handles back to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,,
upper legs,cable,0196_cable_pull_through_with_rope,cable pull through (with rope),glutes,hamstrings,lower back,Stand facing away from the cable machine with your feet shoulder-width apart.,"Grab the rope attachment with both hands and step forward, creating tension in the cable.","Bend at the hips and lower your upper body until it is parallel to the ground, keeping your back straight.",Engage your glutes and hamstrings to pull your body back up to the starting position.,Repeat for the desired number of repetitions.,,,,,,,,,,
back,cable,0198_cable_pulldown,cable pulldown,lats,biceps,forearms,Adjust the cable pulldown machine so that the seat is at a comfortable height and the knee pad is secured.,Sit on the seat with your back straight and your feet flat on the ground.,"Grasp the cable bar with an overhand grip, slightly wider than shoulder-width apart.",Lean back slightly and engage your core.,"Pull the cable bar down towards your chest, squeezing your shoulder blades together.","Pause for a moment at the bottom of the movement, then slowly release the bar back to the starting position.",,Repeat for the desired number of repetitions.,,,,,,,
back,cable,0197_cable_pulldown_pro_lat_bar,cable pulldown (pro lat bar),lats,biceps,forearms,Adjust the seat height so that your thighs are parallel to the ground and your feet are flat on the floor.,"Grasp the lat bar with an overhand grip, slightly wider than shoulder-width apart.","Sit down and lean back slightly, keeping your chest up and your back straight.","Pull the bar down towards your chest, squeezing your shoulder blades together.","Pause for a moment at the bottom of the movement, then slowly release the bar back up to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,
upper arms,cable,1638_cable_pulldown_bicep_curl,cable pulldown bicep curl,biceps,forearms,,Attach a straight bar to the cable machine at the highest setting.,Stand facing the machine with your feet shoulder-width apart.,"Grasp the bar with an underhand grip, hands shoulder-width apart.",Keep your elbows close to your sides and your upper arms stationary.,"Exhale and slowly curl the bar down towards your thighs, keeping your wrists straight.","Pause for a moment at the bottom of the movement, squeezing your biceps.",,"Inhale and slowly return the bar to the starting position, fully extending your arms.",Repeat for the desired number of repetitions.,,,,,,
upper arms,cable,0201_cable_pushdown,cable pushdown,triceps,forearms,,Attach a straight bar to a high pulley cable machine.,Stand facing the machine with your feet shoulder-width apart and a slight bend in your knees.,"Grasp the bar with an overhand grip, hands shoulder-width apart.",Keep your elbows close to your sides and your upper arms stationary.,Exhale and push the bar down until your elbows are fully extended.,"Pause for a moment, then inhale and slowly return the bar to the starting position.",,Repeat for the desired number of repetitions.,,,,,,,
back,cable,0199_cable_pushdown_straight_arm_v_2,cable pushdown (straight arm) v. 2,lats,triceps,shoulders,Attach a straight bar to a high pulley cable machine.,Stand facing the machine with your feet shoulder-width apart and a slight bend in your knees.,"Grasp the bar with an overhand grip, keeping your arms straight and your palms facing down.",Engage your core and keep your back straight as you exhale and push the bar down towards your thighs.,"Pause for a moment at the bottom, then slowly return the bar to the starting position while inhaling.",Repeat for the desired number of repetitions.,,,,,,,,,
upper arms,cable,0200_cable_pushdown_with_rope_attachment,cable pushdown (with rope attachment),triceps,forearms,,Attach a rope attachment to a high pulley on a cable machine.,Stand facing the machine with your feet shoulder-width apart and a slight bend in your knees.,"Grasp the rope with an overhand grip, palms facing each other.",Keep your elbows close to your sides and your upper arms stationary throughout the exercise.,Exhale and push the rope downward by extending your elbows until your arms are fully extended.,"Pause for a moment, then inhale and slowly return to the starting position by allowing your elbows to flex.",,Repeat for the desired number of repetitions.,,,,,,,
shoulders,cable,0202_cable_rear_delt_row_stirrups,cable rear delt row (stirrups),delts,trapezius,rhomboids,Attach a stirrup handle to a low cable pulley and stand facing the machine.,"Grasp the handle with your left hand and take a step back with your right foot, positioning your body at a slight angle.","Bend your knees slightly and hinge forward at the hips, keeping your back straight and your core engaged.","With your left arm extended and your palm facing down, pull the handle towards your chest by retracting your shoulder blade.","Pause for a moment at the top of the movement, squeezing your shoulder blade.",Slowly release the handle back to the starting position and repeat for the desired number of repetitions.,biceps,Switch sides and repeat the exercise with your right arm.,,,,,,,
shoulders,cable,0203_cable_rear_delt_row_with_rope,cable rear delt row (with rope),delts,trapezius,rhomboids,Attach a rope handle to a low pulley cable machine.,Stand facing the machine with your feet shoulder-width apart.,"Grasp the rope handle with an overhand grip, palms facing each other.","Bend your knees slightly and hinge forward at the hips, keeping your back straight.","Keep your elbows slightly bent and pull the rope towards your chest, squeezing your shoulder blades together.","Pause for a moment at the top of the movement, then slowly release the tension and return to the starting position.",biceps,Repeat for the desired number of repetitions.,,,,,,,
upper arms,cable,0204_cable_rear_drive,cable rear drive,triceps,shoulders,back,Attach a handle to a low pulley cable machine and stand facing away from the machine.,Grasp the handle with an overhand grip and extend your arms straight out in front of you.,"Keeping your elbows stationary, pull the handle back towards your body, squeezing your triceps at the end of the movement.",Slowly return the handle to the starting position and repeat for the desired number of repetitions.,,,,,,,,,,,
back,cable,0205_cable_rear_pulldown,cable rear pulldown,lats,biceps,rhomboids,Adjust the cable machine so that the pulley is at the highest position.,Sit facing the machine with your feet flat on the ground and your knees slightly bent.,"Grasp the cable attachment with an overhand grip, hands slightly wider than shoulder-width apart.","Lean back slightly, keeping your back straight and your chest up.","Pull the cable attachment down towards your chest, squeezing your shoulder blades together.","Pause for a moment at the bottom of the movement, then slowly release the cable back up to the starting position.",rear deltoids,Repeat for the desired number of repetitions.,,,,,,,
waist,cable,0873_cable_reverse_crunch,cable reverse crunch,abs,hip flexors,,Attach a cable to a low pulley and lie down facing up on a mat.,Hold the cable with both hands and extend your arms straight up towards the ceiling.,"Bend your knees and lift your legs up, bringing your thighs towards your chest.","While keeping your upper body stable, curl your pelvis up towards your chest, lifting your hips off the mat.","Pause for a moment at the top, then slowly lower your hips back down to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,
upper arms,cable,0206_cable_reverse_curl,cable reverse curl,biceps,forearms,,Attach a straight bar to a low pulley cable machine.,Stand facing the machine with your feet shoulder-width apart and your knees slightly bent.,"Grasp the bar with an underhand grip, hands shoulder-width apart.",Keep your elbows close to your sides and your upper arms stationary throughout the exercise.,"Exhale and curl the bar up towards your shoulders, contracting your biceps.","Pause for a moment at the top, squeezing your biceps.",,"Inhale and slowly lower the bar back to the starting position, fully extending your arms.",Repeat for the desired number of repetitions.,,,,,,
upper arms,cable,2406_cable_reverse_grip_triceps_pushdown_sz_bar_with_arm_blaster,cable reverse grip triceps pushdown (sz-bar) (with arm blaster),triceps,forearms,,Attach a straight bar to the cable machine at the highest setting.,Stand facing the cable machine with your feet shoulder-width apart.,"Grasp the bar with an underhand grip, palms facing up, and your hands shoulder-width apart.",Keep your elbows close to your sides and your upper arms stationary throughout the exercise.,Engage your triceps and slowly push the bar down until your arms are fully extended.,"Pause for a moment at the bottom, then slowly return the bar to the starting position.",,Repeat for the desired number of repetitions.,,,,,,,
upper arms,cable,1413_cable_reverse_one_arm_curl,cable reverse one arm curl,biceps,forearms,,Stand facing a cable machine with your feet shoulder-width apart.,"Grasp the cable handle with an underhand grip, palm facing down.",Keep your elbow close to your side and slowly curl your forearm up towards your shoulder.,"Pause for a moment at the top, then slowly lower your forearm back down to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,,
upper arms,cable,0209_cable_reverse_preacher_curl,cable reverse preacher curl,biceps,forearms,,Adjust the cable machine so that the preacher curl pad is at chest height.,"Sit on the preacher curl bench and place your upper arms on the pad, with your palms facing down and your elbows fully extended.","Grab the cable handles with an underhand grip, shoulder-width apart.","Keeping your upper arms stationary, exhale and curl the handles towards your shoulders, contracting your biceps.","Pause for a moment at the top of the movement, squeezing your biceps.","Inhale and slowly lower the handles back to the starting position, fully extending your elbows.",,Repeat for the desired number of repetitions.,,,,,,,
lower arms,cable,0210_cable_reverse_wrist_curl,cable reverse wrist curl,forearms,forearms,wrists,Attach a cable to a low pulley and sit on a bench facing the cable machine.,"Grasp the cable handle with an overhand grip, palms facing down.","Rest your forearms on your thighs, with your wrists hanging off the edge.","Keeping your forearms stationary, exhale and curl your wrists upward as far as possible.","Pause for a moment at the top, then inhale and slowly lower your wrists back down to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,
upper arms,cable,0207_cable_reverse_grip_pushdown,cable reverse-grip pushdown,triceps,forearms,,Attach a straight bar to a high pulley cable machine.,Stand facing the machine with your feet shoulder-width apart.,"Grasp the bar with an underhand grip, palms facing up, and your hands shoulder-width apart.",Keep your elbows close to your sides and your upper arms stationary throughout the exercise.,"Using your triceps, push the bar down until your arms are fully extended and your triceps are contracted.","Pause for a moment, then slowly return the bar to the starting position.",,Repeat for the desired number of repetitions.,,,,,,,
back,cable,0208_cable_reverse_grip_straight_back_seated_high_row,cable reverse-grip straight back seated high row,upper back,biceps,forearms,Sit on the seat facing the cable machine with your feet flat on the floor.,"Grasp the cable attachment with an underhand grip, palms facing up, and your hands shoulder-width apart.",Keep your back straight and lean slightly forward from your hips.,Pull the cable towards your torso by retracting your shoulder blades and squeezing your back muscles.,"Pause for a moment at the peak of the contraction, then slowly release the cable back to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,
back,cable,1320_cable_rope_crossover_seated_row,cable rope crossover seated row,upper back,biceps,forearms,Sit on the rowing machine with your feet flat on the footrests and your knees slightly bent.,"Grasp the cable ropes with an overhand grip, palms facing each other.","Lean back slightly, keeping your back straight and your core engaged.","Pull the cable ropes towards your chest, squeezing your shoulder blades together.","Pause for a moment at the peak of the movement, then slowly release the tension and return to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,
back,cable,1321_cable_rope_elevated_seated_row,cable rope elevated seated row,upper back,biceps,forearms,Sit on the elevated seat facing the cable machine.,"Grab the cable rope handles with an overhand grip, palms facing each other.","Keep your back straight and lean slightly back, maintaining a slight bend in your knees.",Pull the cable towards your body by retracting your shoulder blades and squeezing your back muscles.,Pause for a moment at the fully contracted position.,Slowly release the tension and extend your arms back to the starting position.,,Repeat for the desired number of repetitions.,,,,,,,
back,cable,1322_cable_rope_extension_incline_bench_row,cable rope extension incline bench row,upper back,biceps,shoulders,Set up an incline bench at a 45-degree angle and attach a cable machine to the low pulley.,Attach a rope handle to the cable machine and sit on the incline bench facing the machine.,"Grab the rope handle with an overhand grip and lean forward, keeping your back straight.","Extend your arms fully, pulling the rope towards your upper chest while keeping your elbows close to your body.",Squeeze your shoulder blades together at the end of the movement.,Slowly release the tension and return to the starting position.,,Repeat for the desired number of repetitions.,,,,,,,
upper arms,cable,1639_cable_rope_hammer_preacher_curl,cable rope hammer preacher curl,biceps,forearms,,Attach a rope attachment to a low pulley cable machine.,Stand facing the machine with your feet shoulder-width apart.,Grasp the rope with a neutral grip (palms facing each other).,"Position your upper arms against the preacher bench pad, keeping your elbows slightly bent.","Keeping your upper arms stationary, exhale and curl the rope towards your shoulders by contracting your biceps.",Hold the contracted position for a brief pause as you squeeze your biceps.,,Inhale and slowly lower the rope back to the starting position.,Repeat for the desired number of repetitions.,,,,,,
upper arms,cable,1724_cable_rope_high_pulley_overhead_tricep_extension,cable rope high pulley overhead tricep extension,triceps,shoulders,,Attach a rope to a high pulley and adjust the weight accordingly.,Stand facing away from the pulley machine with your feet shoulder-width apart.,"Grasp the rope with both hands, palms facing down, and bring your hands above your head.",Keep your upper arms close to your head and perpendicular to the floor.,Slowly lower the rope behind your head by bending your elbows.,"Pause for a moment, then extend your arms back to the starting position.",,Repeat for the desired number of repetitions.,,,,,,,
upper arms,cable,1725_cable_rope_incline_tricep_extension,cable rope incline tricep extension,triceps,shoulders,,Attach a rope to a high pulley and adjust the incline bench to a comfortable angle.,Stand facing away from the pulley with your feet shoulder-width apart.,Grasp the rope with an overhand grip and extend your arms straight overhead.,Keep your elbows close to your head and your upper arms stationary throughout the exercise.,Lower the rope behind your head by bending your elbows until your forearms touch your biceps.,"Pause for a moment, then extend your arms back to the starting position.",,Repeat for the desired number of repetitions.,,,,,,,
upper arms,cable,1726_cable_rope_lying_on_floor_tricep_extension,cable rope lying on floor tricep extension,triceps,shoulders,,Attach a rope to a cable machine and set it to the lowest position.,"Lie on the floor facing up, with your head towards the cable machine.","Hold the rope with both hands, palms facing each other, and extend your arms straight up towards the ceiling.","Keep your upper arms stationary and slowly lower the rope towards your forehead, bending your elbows.","Pause for a moment, then extend your arms back up to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,
upper arms,cable,1640_cable_rope_one_arm_hammer_preacher_curl,cable rope one arm hammer preacher curl,biceps,forearms,,Attach a rope handle to a low pulley cable machine.,Stand facing the machine with your feet shoulder-width apart.,"Grasp the rope handle with an underhand grip, palms facing up.","Position your upper arm against the preacher bench pad, keeping your elbow slightly bent.",Keep your back straight and your core engaged throughout the exercise.,"Slowly curl the rope handle towards your shoulder, keeping your upper arm stationary.",,"Squeeze your biceps at the top of the movement, then slowly lower the rope handle back to the starting position.","Repeat for the desired number of repetitions, then switch arms.",,,,,,
back,cable,1323_cable_rope_seated_row,cable rope seated row,upper back,biceps,forearms,Sit on the rowing machine with your feet flat on the footrests and knees slightly bent.,"Grasp the cable ropes with an overhand grip, palms facing each other.","Keep your back straight and lean slightly forward, maintaining a slight bend in your elbows.","Pull the cable ropes towards your body, squeezing your shoulder blades together.","Pause for a moment at the peak of the movement, then slowly release the tension and return to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,
waist,cable,0211_cable_russian_twists_on_stability_ball,cable russian twists (on stability ball),abs,obliques,lower back,Sit on a stability ball with your feet flat on the ground and your knees bent at a 90-degree angle.,Hold the cable handle with both hands and extend your arms straight out in front of you.,Lean back slightly while keeping your back straight and your core engaged.,"Twist your torso to the right, bringing the cable handle towards your right hip.","Pause for a moment, then twist your torso to the left, bringing the cable handle towards your left hip.",Continue alternating twists for the desired number of repetitions.,,,,,,,,,
chest,cable,2144_cable_seated_chest_press,cable seated chest press,pectorals,shoulders,triceps,Adjust the seat height and cable handles to a comfortable position.,Sit on the bench with your back straight and feet flat on the floor.,Grasp the cable handles with an overhand grip at shoulder height.,"Push the handles forward and away from your body, extending your arms fully.","Pause for a moment, then slowly bring the handles back to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,
waist,cable,0212_cable_seated_crunch,cable seated crunch,abs,obliques,,Sit on a cable machine with your feet flat on the ground and your knees bent.,Hold the cable handle with both hands and position it behind your head.,"Engage your abs and slowly curl your upper body forward, bringing your chest towards your knees.","Pause for a moment at the top, then slowly return to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,,
upper arms,cable,1641_cable_seated_curl,cable seated curl,biceps,forearms,,Sit on a cable machine with your feet flat on the ground and your back straight.,"Grasp the cable attachment with an underhand grip, palms facing up, and your arms fully extended.","Keeping your upper arms stationary, exhale and curl the cable attachment towards your shoulders, contracting your biceps.","Pause for a moment at the top of the movement, squeezing your biceps.","Inhale and slowly lower the cable attachment back to the starting position, fully extending your arms.",Repeat for the desired number of repetitions.,,,,,,,,,
back,cable,0213_cable_seated_high_row_v_bar,cable seated high row (v-bar),lats,biceps,rhomboids,Sit on the cable machine with your feet flat on the floor and your knees slightly bent.,"Grasp the v-bar attachment with an overhand grip, palms facing each other, and your hands shoulder-width apart.",Keep your back straight and lean slightly forward from the hips.,Pull the v-bar towards your torso by retracting your shoulder blades and squeezing your back muscles.,"Pause for a moment at the peak of the contraction, then slowly release the tension and return to the starting position.",Repeat for the desired number of repetitions.,rear deltoids,,,,,,,,
back,cable,0214_cable_seated_one_arm_alternate_row,cable seated one arm alternate row,upper back,biceps,forearms,Sit on a bench facing a cable machine with your feet flat on the ground and knees slightly bent.,Grasp the handle with one hand and keep your arm fully extended in front of you.,"Pull the handle towards your body, retracting your shoulder blade and keeping your elbow close to your side.","Pause for a moment at the top of the movement, squeezing your back muscles.",Slowly release the handle back to the starting position.,Repeat with the other arm.,,Alternate between arms for the desired number of repetitions.,,,,,,,
upper arms,cable,1642_cable_seated_one_arm_concentration_curl,cable seated one arm concentration curl,biceps,forearms,,Sit on a bench with your feet flat on the floor and your back straight.,"Hold a cable handle with one hand and place your elbow on the inside of your thigh, just above the knee.",Keep your upper arm stationary and curl the cable handle towards your shoulder while exhaling.,"Pause for a moment at the top of the movement, squeezing your biceps.",Slowly lower the cable handle back to the starting position while inhaling.,"Repeat for the desired number of repetitions, then switch arms.",,,,,,,,,
upper arms,cable,1643_cable_seated_overhead_curl,cable seated overhead curl,biceps,forearms,shoulders,Sit on a bench facing the cable machine with your feet flat on the ground.,"Grasp the cable attachment with an underhand grip, palms facing up, and your hands shoulder-width apart.",Keep your upper arms stationary and your elbows close to your sides.,"Exhale and curl the cable attachment towards your shoulders, contracting your biceps.","Pause for a moment at the top of the movement, squeezing your biceps.","Inhale and slowly lower the cable attachment back to the starting position, fully extending your arms.",,Repeat for the desired number of repetitions.,,,,,,,
shoulders,cable,0215_cable_seated_rear_lateral_raise,cable seated rear lateral raise,delts,traps,rhomboids,Sit on a bench facing the cable machine with your feet flat on the ground.,Grasp the cable handles with an overhand grip and extend your arms straight in front of you.,"Keeping your arms straight, slowly raise them out to the sides until they are parallel to the floor.","Pause for a moment at the top, then slowly lower your arms back to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,,
back,cable,0861_cable_seated_row,cable seated row,upper back,biceps,forearms,Sit on the cable row machine with your feet flat on the footrests and your knees slightly bent.,"Grasp the handles with an overhand grip, keeping your back straight and your shoulders relaxed.","Pull the handles towards your body, squeezing your shoulder blades together.","Pause for a moment at the peak of the movement, then slowly release the handles back to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,,
shoulders,cable,0216_cable_seated_shoulder_internal_rotation,cable seated shoulder internal rotation,delts,rotator cuff,triceps,Sit on a bench or chair facing the cable machine with your feet flat on the ground.,"Hold the cable handle with your arm extended straight out in front of you, parallel to the ground.",Keep your elbow slightly bent and your shoulder blades pulled back and down.,"Slowly rotate your arm inward, bringing the cable handle towards the center of your body.","Pause for a moment at the end of the movement, then slowly return to the starting position.","Repeat for the desired number of repetitions, then switch arms.",,,,,,,,,
waist,cable,2399_cable_seated_twist,cable seated twist,abs,obliques,,Sit on a cable machine with your feet flat on the ground and your knees slightly bent.,Hold the cable handle with both hands and extend your arms straight in front of you.,"Keeping your core engaged, slowly rotate your torso to one side, pulling the cable across your body.","Pause for a moment at the end of the range of motion, then slowly rotate back to the starting position.",Repeat on the other side.,Continue alternating sides for the desired number of repetitions.,,,,,,,,,
back,cable,0218_cable_seated_wide_grip_row,cable seated wide-grip row,upper back,biceps,forearms,Sit on the cable row machine with your feet flat on the footrests and your knees slightly bent.,"Grasp the handle with a wide overhand grip, palms facing down.",Keep your back straight and lean slightly forward from the hips.,"Pull the handle towards your lower chest, squeezing your shoulder blades together.",Pause for a moment at the peak of the contraction.,"Slowly release the handle back to the starting position, fully extending your arms.",,Repeat for the desired number of repetitions.,,,,,,,
shoulders,cable,0219_cable_shoulder_press,cable shoulder press,delts,triceps,upper back,Adjust the cable machine so that the handles are at shoulder height.,Stand facing away from the machine with your feet shoulder-width apart.,"Grasp the handles with an overhand grip and bring them up to shoulder level, with your elbows bent and pointing outwards.",Press the handles upwards until your arms are fully extended overhead.,"Pause for a moment at the top, then slowly lower the handles back down to shoulder level.",Repeat for the desired number of repetitions.,,,,,,,,,
